wave,original_mac_m2.mg,original_corrected_mac_m2.mg,invivo_corrected_mac_m2.mg,invivo_corrected_750_normalised_mac_m2.mg,,,,200,0,0,0,0
432,0.145117161,0.145117161,0.184902282,0.156558511,,,,383,0.264512325,0.154367178,0.207603163,0.179259393
433,0.143095318,0.143095318,0.184371485,0.156027715,,,,384,0.262571522,0.155677558,0.207248398,0.178904628
434,0.141073476,0.141073476,0.1837297,0.15538593,,,,385,0.260496861,0.155995446,0.206609729,0.178265958
435,0.139378754,0.139378754,0.18317062,0.15482685,,,,386,0.2584222,0.156320069,0.205929277,0.177585506
436,0.137684032,0.137684032,0.183046641,0.154702871,,,,387,0.255825174,0.157100496,0.205560867,0.177217097
437,0.13594335,0.13594335,0.183068471,0.154724701,,,,388,0.253228147,0.15790475,0.205262783,0.176919013
438,0.134202668,0.134202668,0.182902524,0.154558753,,,,389,0.250626292,0.15816193,0.204790831,0.176447061
439,0.132687895,0.132687895,0.18229027,0.1539465,,,,390,0.248024437,0.158424817,0.20431862,0.17597485
440,0.131173122,0.131173122,0.181849025,0.153505255,,,,391,0.245141734,0.158440954,0.203739125,0.175395355
441,0.129559732,0.129559732,0.181470837,0.153127067,,,,392,0.242259032,0.158462654,0.203324762,0.174980992
442,0.127946341,0.127946341,0.180990889,0.152647119,,,,393,0.239969095,0.158433578,0.20324754,0.17490377
443,0.126531284,0.126531284,0.180429931,0.152086161,,,,394,0.237679158,0.15841728,0.203071778,0.174728008
444,0.125116226,0.125116226,0.179981953,0.151638183,,,,395,0.234509515,0.158403232,0.202636548,0.174292778
445,0.123546449,0.123546449,0.17979323,0.15144946,,,,396,0.231339872,0.158388237,0.202078291,0.173734521
446,0.121976671,0.121976671,0.179300259,0.150956489,,,,397,0.228038687,0.157763471,0.201516404,0.173172634
447,0.120544756,0.120544756,0.178523759,0.150179989,,,,398,0.224737502,0.157125019,0.201008185,0.172664415
448,0.119112841,0.119112841,0.177855545,0.149511775,,,,399,0.222098173,0.157249912,0.20052134,0.17217757
449,0.117296432,0.117296432,0.177364995,0.149021225,,,,400,0.219458843,0.157377497,0.200417325,0.172073555
450,0.115480022,0.115480022,0.176852757,0.148508986,,,,401,0.216414802,0.156732655,0.200109951,0.171766181
451,0.11421346,0.11421346,0.176177863,0.147834092,,,,402,0.213370761,0.156060018,0.199825121,0.171481351
452,0.112946899,0.112946899,0.175671412,0.147327642,,,,403,0.210635514,0.156051726,0.199489533,0.171145763
453,0.111455969,0.111455969,0.175154116,0.146810345,,,,404,0.207900268,0.156052886,0.199708654,0.171364884
454,0.109965039,0.109965039,0.174559732,0.146215962,,,,405,0.205072968,0.155604748,0.199828773,0.171485003
455,0.108454848,0.108454848,0.173758829,0.145415059,,,,406,0.202245668,0.155164177,0.199262233,0.170918462
456,0.106944657,0.106944657,0.172888173,0.144544402,,,,407,0.199447915,0.154836034,0.198626404,0.170282633
457,0.105602242,0.105602242,0.172158742,0.143814971,,,,408,0.196650161,0.154501426,0.198196336,0.169852566
458,0.104259827,0.104259827,0.171615449,0.143271679,,,,409,0.194054817,0.15414251,0.197771034,0.169427264
459,0.103121862,0.103121862,0.171124223,0.142780453,,,,410,0.191459473,0.153775531,0.19719334,0.16884957
460,0.101983897,0.101983897,0.1707009,0.14235713,,,,411,0.189031501,0.153729662,0.196544503,0.168200733
461,0.100832952,0.100832952,0.170287172,0.141943402,,,,412,0.18660353,0.153682199,0.196069103,0.167725333
462,0.099682006,0.099682006,0.169684089,0.141340319,,,,413,0.183689853,0.15315466,0.195542984,0.167199214
463,0.09847464,0.09847464,0.169155815,0.140812045,,,,414,0.180776177,0.152630268,0.195058742,0.166714972
464,0.097267275,0.097267275,0.168570425,0.140226655,,,,415,0.178849152,0.153121701,0.194289153,0.165945383
465,0.095875514,0.095875514,0.168120115,0.139776345,,,,416,0.176922128,0.153626674,0.193758866,0.165415096
466,0.094483754,0.094483754,0.167561083,0.139217313,,,,417,0.174204893,0.153285493,0.193226488,0.164882718
467,0.093292564,0.093292564,0.167160959,0.138817189,,,,418,0.171487657,0.152934665,0.192671587,0.164327817
468,0.092101375,0.092101375,0.166705298,0.138361527,,,,419,0.169558944,0.153948248,0.191824841,0.163481071
469,0.090810599,0.090810599,0.166246659,0.137902888,,,,420,0.167630231,0.154998628,0.191268838,0.162925068
470,0.089519823,0.089519823,0.165898033,0.137554263,,,,421,0.165510225,0.154692688,0.19061013,0.16226636
471,0.08874532,0.08874532,0.165591004,0.137247234,,,,422,0.16339022,0.154379713,0.189937787,0.161594017
472,0.087970816,0.087970816,0.165357049,0.137013279,,,,423,0.161798861,0.155086818,0.189213062,0.160869292
473,0.087070612,0.087070612,0.16509872,0.13675495,,,,424,0.160207501,0.155833968,0.188950602,0.160606832
474,0.086170408,0.086170408,0.164575377,0.136231607,,,,425,0.157973456,0.155697462,0.188536615,0.160192845
475,0.085238543,0.085238543,0.164195751,0.135851981,,,,426,0.155739411,0.155556897,0.187882282,0.159538512
476,0.084306679,0.084306679,0.163883321,0.135539551,,,,427,0.154108556,0.154108556,0.187256273,0.158912503
477,0.08356818,0.08356818,0.163631167,0.135287397,,,,428,0.152477701,0.152477701,0.186814308,0.158470538
478,0.08282968,0.08282968,0.162917529,0.134573759,,,,429,0.150343141,0.150343141,0.186325948,0.157982178
479,0.081746469,0.081746469,0.162481043,0.134137273,,,,430,0.148208582,0.148208582,0.185789213,0.157445443
480,0.080663258,0.080663258,0.16217482,0.133831049,,,,431,0.146662871,0.146662871,0.185372955,0.157029184
481,0.079896327,0.079896327,0.161874552,0.133530781,,,,432,0.145117161,0.145117161,0.184902282,0.156558511
482,0.079129396,0.079129396,0.161430315,0.133086544,,,,433,0.143095318,0.143095318,0.184371485,0.156027715
483,0.078522852,0.078522852,0.161048756,0.132704985,,,,434,0.141073476,0.141073476,0.1837297,0.15538593
484,0.077916309,0.077916309,0.160752636,0.132408866,,,,435,0.139378754,0.139378754,0.18317062,0.15482685
485,0.076930711,0.076930711,0.160354669,0.132010899,,,,436,0.137684032,0.137684032,0.183046641,0.154702871
486,0.075945113,0.075945113,0.159842536,0.131498766,,,,437,0.13594335,0.13594335,0.183068471,0.154724701
487,0.075172915,0.075172915,0.159197964,0.130854194,,,,438,0.134202668,0.134202668,0.182902524,0.154558753
488,0.074400717,0.074400717,0.15873299,0.13038922,,,,439,0.132687895,0.132687895,0.18229027,0.1539465
489,0.073950289,0.073950289,0.158601029,0.130257259,,,,440,0.131173122,0.131173122,0.181849025,0.153505255
