wvl,BRA,BRB,BRC,HE1A,HE2A,HE2B,HE2C,MIT1A,MIT1B,MIT1C,MIT2A,MIT2B,MIT2C,MIT3A,MIT3B,MIT3C,MIT4A,MIT4B,MIT4C,MIT5A,MIT5B,MIT5C
599,0.00191633,0.001816517,0.001760215,0.001988598,0.0013703,0.001462421,0.001616852,0.000837473,0.003012884,0.001243196,0.000423815,0.000422405,0.000410911,0.001944116,0.001867571,0.001916081,0.001643619,0.001791898,0.002050909,0.001736248,0.001687734,0.001977701
602,0.001867444,0.00176348,0.001725701,0.001946287,0.0013703,0.001392782,0.001541299,0.000837473,0.002985242,0.001243196,0.000407515,0.000397557,0.000410911,0.001885204,0.00181459,0.001854929,0.001599197,0.001744742,0.001994975,0.001685817,0.001636784,0.001912214
605,0.001818558,0.001710443,0.001691187,0.001861666,0.0013703,0.001357963,0.001495966,0.000837473,0.002985242,0.001346795,0.000407515,0.000397557,0.000410911,0.001845929,0.001761609,0.001814162,0.001554775,0.001697587,0.001939042,0.001635387,0.001573096,0.001846728
608,0.001759895,0.001657406,0.001622159,0.001861666,0.0013703,0.001288324,0.001420412,0.000837473,0.00292996,0.001346795,0.000407515,0.000397557,0.000388083,0.001787016,0.001695383,0.00175301,0.001495545,0.001650432,0.001864463,0.001592161,0.001560358,0.001794338
611,0.001711009,0.001604369,0.001518617,0.001861666,0.0013703,0.001149045,0.001359969,0.000753726,0.002902319,0.001243196,0.000374914,0.00037271,0.000342426,0.001728103,0.001655648,0.001691859,0.00146593,0.001609171,0.001789884,0.001548935,0.001512592,0.001741949
614,0.0016719,0.001557961,0.001449589,0.001819355,0.001199013,0.001114226,0.001299526,0.000753726,0.002902319,0.001139596,0.000374914,0.00037271,0.000342426,0.001688828,0.001615912,0.001671475,0.001436316,0.001562016,0.00177124,0.001505709,0.001461641,0.001689559
617,0.001642569,0.001511554,0.001449589,0.001861666,0.001199013,0.001114226,0.001269305,0.000753726,0.002902319,0.001139596,0.000374914,0.00037271,0.000342426,0.001649553,0.001576177,0.001651091,0.001391894,0.00152665,0.001752595,0.001469687,0.001429797,0.00163717
620,0.00160346,0.001465147,0.001449589,0.001777045,0.001199013,0.001114226,0.001223972,0.000837473,0.002902319,0.001243196,0.000374914,0.00037271,0.000342426,0.001629916,0.001549686,0.001610323,0.001377086,0.001485389,0.001715306,0.001433665,0.001382031,0.001578232
623,0.001564351,0.00141211,0.001415075,0.001650113,0.001199013,0.001044587,0.00117864,0.000837473,0.002874678,0.001243196,0.000358613,0.00037271,0.000342426,0.001571003,0.001496706,0.001549172,0.001347471,0.001438234,0.001659372,0.001383235,0.00130879,0.001519294
626,0.001505688,0.001365702,0.001346047,0.001607802,0.001027725,0.000974948,0.001118197,0.000753726,0.002819396,0.001139596,0.000342312,0.000347863,0.000296769,0.00151209,0.001443725,0.00148802,0.001303049,0.001391078,0.001603438,0.0013256,0.001245102,0.001466904
629,0.001466579,0.001312665,0.001277019,0.001523181,0.000856438,0.000905309,0.001057754,0.000669979,0.002791755,0.001139596,0.000326012,0.000323015,0.000296769,0.001453178,0.001377499,0.001426869,0.00124382,0.001349818,0.00152886,0.001282374,0.001187783,0.001414515
632,0.001427471,0.001266258,0.001242505,0.001480871,0.000856438,0.000870489,0.001012422,0.000669979,0.002791755,0.001139596,0.000342312,0.000323015,0.000296769,0.00143354,0.001351009,0.001406485,0.001214205,0.001314451,0.00149157,0.001253556,0.001175045,0.001368674
635,0.001388362,0.00123311,0.001242505,0.00143856,0.001027725,0.000870489,0.0009822,0.000753726,0.002764113,0.001139596,0.000342312,0.000323015,0.000342426,0.001394265,0.001311273,0.001386101,0.001199398,0.001279085,0.001454281,0.00121033,0.001146385,0.001322833
638,0.001349253,0.001193332,0.001173477,0.00143856,0.000856438,0.00080085,0.000936868,0.000753726,0.002764113,0.001243196,0.000326012,0.000347863,0.000319598,0.00135499,0.001271537,0.001324949,0.001169783,0.001243718,0.001416992,0.001174309,0.001089066,0.001276992
641,0.001310144,0.001153554,0.001104449,0.00143856,0.000856438,0.00076603,0.000891535,0.000753726,0.002736472,0.001243196,0.000309711,0.000323015,0.000296769,0.001315715,0.001245047,0.001284182,0.001125361,0.001202458,0.001379703,0.001145491,0.001057222,0.0012377
644,0.00129059,0.001127036,0.001104449,0.001396249,0.000856438,0.00080085,0.000876425,0.000837473,0.002736472,0.001243196,0.000326012,0.000323015,0.000319598,0.001296077,0.001218557,0.001263798,0.001095746,0.001172986,0.001361058,0.001123878,0.001025378,0.001198408
647,0.001251481,0.001087258,0.001069935,0.001353939,0.000856438,0.00076603,0.000846203,0.000753726,0.002708831,0.001243196,0.000326012,0.000323015,0.000319598,0.001256802,0.001192066,0.001243414,0.001080939,0.001137619,0.001305124,0.001087856,0.001006272,0.001159116
650,0.001212372,0.00104748,0.001035421,0.001311628,0.000856438,0.000696391,0.000800871,0.000753726,0.002653549,0.001139596,0.000309711,0.000323015,0.000296769,0.001217527,0.001152331,0.001202646,0.001051324,0.001108147,0.001267835,0.00104463,0.000939399,0.001113276
653,0.001183041,0.001014332,0.001035421,0.001269318,0.000856438,0.000661572,0.000770649,0.000753726,0.002625908,0.001139596,0.000309711,0.000323015,0.000273941,0.001178252,0.001112595,0.001161879,0.001021709,0.001078675,0.001230546,0.001015813,0.000898002,0.001073983
656,0.001143932,0.000981184,0.001035421,0.001269318,0.000856438,0.000661572,0.000740428,0.000753726,0.002625908,0.001139596,0.000326012,0.000347863,0.000296769,0.001158615,0.001086105,0.001121111,0.001006902,0.001049203,0.001193256,0.000979791,0.000875711,0.00104124
659,0.0011146,0.000954666,0.000966393,0.001269318,0.00068515,0.000661572,0.000710206,0.000586231,0.002598267,0.001139596,0.000326012,0.000323015,0.000296769,0.00111934,0.001046369,0.001080343,0.000977287,0.001019731,0.001155967,0.000950974,0.000824761,0.001008497
662,0.001085269,0.000921518,0.000931879,0.001227007,0.00068515,0.000591932,0.000664874,0.000586231,0.002570625,0.001139596,0.000309711,0.000323015,0.000273941,0.001080065,0.001006634,0.00105996,0.000947672,0.000990259,0.001118678,0.000922156,0.000783363,0.000969205
665,0.001055937,0.00088837,0.000931879,0.001184696,0.00068515,0.000557113,0.000634652,0.000669979,0.002542984,0.001139596,0.000309711,0.000323015,0.000273941,0.001060427,0.000980143,0.001039576,0.000932865,0.000966682,0.001100033,0.000907748,0.000767441,0.000936461
668,0.001026606,0.000861851,0.000897365,0.001100075,0.00068515,0.000557113,0.000619542,0.000669979,0.002515343,0.001139596,0.000309711,0.000298168,0.000273941,0.001021152,0.000966898,0.001019192,0.00090325,0.00093721,0.001062744,0.000871726,0.000719675,0.000910266
671,0.001007051,0.000828703,0.000862851,0.001057765,0.00068515,0.000522293,0.00058932,0.000669979,0.002515343,0.001139596,0.000293411,0.000298168,0.000273941,0.001001514,0.000927163,0.000978424,0.000873635,0.000907738,0.001044099,0.000850113,0.0006942,0.000877523
674,0.00097772,0.000808814,0.000828337,0.001100075,0.000856438,0.000522293,0.000574209,0.000669979,0.002515343,0.001139596,0.000309711,0.000323015,0.000273941,0.000981877,0.000900672,0.000937657,0.000858828,0.000878266,0.001025455,0.000842909,0.0006942,0.000857877
677,0.000948388,0.000775666,0.000793823,0.001100075,0.00068515,0.000487474,0.000543988,0.000669979,0.002460061,0.001139596,0.00027711,0.000298168,0.000273941,0.000942602,0.000874182,0.000917273,0.000844021,0.000848794,0.000988165,0.000821296,0.000681462,0.000838231
680,0.000919056,0.000749147,0.000793823,0.001057765,0.00068515,0.000452654,0.000543988,0.000586231,0.002404779,0.001035996,0.00026081,0.000273321,0.000273941,0.000903327,0.000847692,0.000876505,0.000799598,0.000825216,0.000950876,0.000778069,0.000640065,0.000805488
